CANTIC	Catàleg d'autoritats de noms i títols de Catalunya	P1273
VIAF	Virtual International Authority File	P214
LCCN	Número de Control de la Biblioteca del Congrés	P244
ISNI	International Standard Name Identifier	P213
ORCID	ORCID	P496
GND	Gemeinsame Normdatei	P227
SELIBR	LIBRIS	P906
SUDOC	Système universitaire de documentation	P269
BNF	Biblioteca Nacional de França	P268
BNE	Biblioteca Nacional d'Espanya	P950
BPN	Biografisch Portaal	P651
BIBSYS	BIBSYS	P1015
ULAN	Union List of Artist Names	P245
HDS	Diccionari Històric de Suïssa	P902
LIR	Diccionari Històric de Suïssa#Lexicon Istoric Retic	P886
MGP	Mathematics Genealogy Project	P549
NLA	Biblioteca Nacional d'Austràlia	P409
NDL	Biblioteca Nacional de la Dieta del Japó	P349
NCL	National Central Library	P1048
NKC	Biblioteca Nacional de la República Txeca	P691
Léonore	Base Léonore	P640
RSL	Biblioteca Estatal de Rússia	P947
SBN	Istituto Centrale per il Catalogo Unico	P396
OSM	OpenStreetMap	P402
GEC	Gran Enciclopèdia Catalana	P1296
EEC	Enciclopèdia de l'Esport Català	P5513
GEMUS	Gran Enciclopèdia de la Música	P6412
